  * Configuratie <#!/konfiguration>
      o Touch configuraties <#!/konfiguration/touchkonfiguration>
      o Schacht configuraties <#!/konfiguration/schachtkonfiguration>
      o Design configuraties <#!/konfiguration/designkonfiguration>
      o SMX configuraties <#!/konfiguration/smxkonfiguration>
  * Automaten <#!/service/handelsgruppen?quickFinderAddress=1>
      o Zoeken <#!/service/service>
  * Productencatalogus <#!/konfiguration/produktkatalog>
      o Prijs configuratie <#!/konfiguration/preisliste>
      o Producten vervangen <#!/konfiguration/suchenersetzen>
      o Product usage <#!/konfiguration/produktverwendung>
  * Bestanden <#!/konfiguration/alleBilder>
      o Merk <#!/konfiguration/marke>
      o Productlijn gedownload van updateserver
        <#!/konfiguration/produktlinie>
  * Productgroepen <#!/konfiguration/warengruppen>
  * Statistiek <#!/statistik>
      o Tijd <#!/statistik/statistik2>
      o Product <#!/statistik/statistik3>
      o Level <#!/statistik/statistik4>
      o Uitverkocht <#!/statistik/statistik5>
      o Fout <#!/statistik/statistik6>
      o Deur openingstijden <#!/statistik/statistik7>
  * Service <#!/service/index>
      o Handleidingen <#!/service/dokumentation>

Belgique (Français)

		Weergeven afbeelding	
	OK

327 Produkt(e)

Afbeelding	Naam	Fabrikant	Hoogte	Breedte	Diepte	Inhoud	EAN	Prijs  	Mutatiedatum	ID
	GAULOISES BLONDES BLUE/48	IB	36	84	83	48	4030600278499	16,00 €	02/04/2021 12:14:35	9e8f3e93-de4f-36f1-f547-2961907e1d43
	GAULOISES BLONDES RED/20	ITB	23	56	90	20	4030600123362	7,00 €	25/02/2021 12:35:05	0dea0a8a-806e-eb3b-1ead-d1a0c3449b90
	GAULOISES BLONDES RED/25	JTI	25	67	90	25	4030600236307	9,00 €	12/02/2021 09:08:26	feef9e81-2d90-5609-70c0-681f3b5e6ee8
	GAULOISES BLONDES WHITE/20	ITB	23	56	90	20	4030600186732	7,00 €	25/02/2021 12:26:53	3f54471c-7be3-b01a-9e5d-2d483b24a012
	GAULOISES BRUNES FILTRE/20	ITB	23	56	72	20	30002388	8,80 €	25/02/2021 12:27:11	1949aa64-65e2-49b8-8e0f-8dd70db65021
	GAULOISES BRUNES FILTRE/25	ITB	24	68	90	25	54030190	10,40 €	25/02/2021 12:46:42	75798724-270d-43c1-881f-e93dc1b8bf0a
	GAULOISES BRUNES/20	ITB	23	70	90	20	30002371	8,80 €	25/02/2021 12:27:28	8a9a1ef5-2c19-4435-aed0-45621d6b4414
	GAULOISES MELANGE BRUN/50G	ITB	22	72	125	50	5410791420102	12,00 €	28/04/2021 15:51:20	7bb72b1e-d066-4d95-a661-c16daee19777
	GITANES FILTRE/20	ITB	23	67	88	20	54030084	9,00 €	01/03/2021 09:35:48	82527838-9c9c-4c09-bfd8-3f48f52978b5
	GOLD FINE/20	VERELLEN	22	100	90	20	5411308710938	7,40 €	12/02/2021 09:25:15	0a7a35ce-d73f-2034-8fdd-1d71feddb49b
	GOLD MIXATION FILTER/20	VERELLEN	22	100	90	20	5411308000886	7,20 €	27/10/2020 10:56:24	ad3bda14-215b-e795-48ff-e83d3e510e46
	GOLD MIXATION/20	VERELLEN	22	100	90	20	5411308000244	7,20 €	27/10/2020 10:57:12	42239c7b-fecb-b1a8-f48e-d66b5d920239
	GOLD ORIGINAL FILTER	VERELLEN	22	100	90	20	5411308001449	7,20 €	27/10/2020 10:57:36	b1abaf24-9d62-40bc-86fa-ff9c298ef655
	GOLD ORIGINAL/20	VERELLEN	22	100	90	20	5411308710631	7,20 €	27/10/2020 10:58:24	601c138a-e631-171c-cfb4-c25523ed000f
	GOLD SPEC SELECTION/20	SCANDINAVIAN TOBACCO	22	100	90	20	5411308471174	7,20 €	27/10/2020 10:59:39	917538b8-6682-16fb-326e-765a52a14479
	GOLDEN VIRGINIA YELLOW/50G	ITB	23	72	125	50	8710900032583	12,20 €	02/03/2021 09:35:16	38e2a690-2f09-20b1-4add-6e9349c029c4
	INTERVAL BRUN (SPEC BL) 50G	PMI	23	72	125	50	5410706153712	5,00 €	05/10/2021 11:59:45	147c057d-ceca-a963-790c-f141ff7001a6
	INTERVAL FEUILLE BLONDE/40G	PMI	23	72	125	40	5415098009166	8,80 €	25/02/2021 12:35:59	865bad0b-c9dc-2c69-097e-a8aebfad286b
	JOHNSON FILTER/25	BAT	23	70	72	25	54039230	9,80 €	01/03/2021 09:54:21	7ffabc1c-fb27-43e6-b9dd-bd66f7bdd7c8
	JOHNSON NO FILTER/20	BAT	21	53	70	20	54002890	8,00 €	12/02/2021 09:10:51	d72a4a14-4fc5-4764-9e3c-a878a3b2fff0
	JOHNSON TABAK XL/50G.	BAT	23	72	125	50	54039346	10,90 €	30/10/2020 14:49:55	0ecca188-5023-4eb3-bdeb-ea5370355a42
	JPS BLACK SKS S/20	ITB	24	56	100	20	4030600123546	5,90 €	30/10/2020 14:51:14	edf20524-81f7-dd71-4baa-c7be358241b6
	JPS BLACK/20	ITB	24	56	90	20	4030600123485	6,60 €	25/02/2021 12:28:12	aa5be16e-c42a-2607-044b-640b5d8ad7f9
	JPS BLACK/30G	ITB	23	72	125	30	8710900000018	3,50 €	05/10/2021 11:59:53	c617ddf6-dd3d-a1d3-31a0-c88facbbbc40
	JPS BLUE STREAM/20	ITB	24	56	90	20	4030600123423	6,50 €	20/03/2021 07:53:27	83029272-d361-22e3-4482-906bb3577a73
	JPS BLUE STREAM/26	ITB	29	67	90	26	4030600219607	7,90 €	30/10/2020 14:57:57	99e8e4da-776a-8d24-6750-830aea231db0
	JPS BLUE STREAM/30	IB	30	72	90	30	4030600274446	9,70 €	04/03/2021 09:59:58	792462e4-361e-0525-48cb-98d8e64901e9
	JPS BLUE STREAM/33	ITB	30	72	90	33	4030600236369	9,50 €	30/10/2020 16:26:02	c90caae8-785b-f19f-3be0-cdcaf5af51bf
	JPS LEAF AIR/20	ITB	24	56	90	20	4030600123454	6,50 €	25/02/2021 12:28:54	9cbd63f4-08ba-8f0c-8183-31c5e03c4092
	JPS RED 100'S/20	ITB	24	56	100	20	4030600123515	6,50 €	25/02/2021 12:36:16	4f7eda94-aca6-d13c-120c-ab73bf5b7429
	JPS RED VT L/69G	ITB	1	1	1	69	4030700123873	13,00 €	09/04/2020 15:15:26	e4a70c88-12d6-8a7b-e95f-f987189e1917
	JPS RED VT M/51G	ITB	1	1	1	51	4030700123903	9,50 €	20/04/2020 11:25:14	d7c77141-7fa9-b695-0670-380a2d1961d0
	JPS RED VT XL/85G	ITB	1	1	1	85	4030700123804	15,00 €	27/10/2020 12:51:44	4dc701ee-f05e-45c6-ad77-85d91aa6ad45
	JPS RED XXXXL/50	ITB	36	87	83	50	4030600259948	14,00 €	30/10/2020 16:26:59	e0d7e9c8-9d30-4c20-9dfa-9c97f04f8cc4
	JPS RED/20	ITB	24	56	90	20	4030600123393	6,50 €	12/02/2021 09:12:03	d83148a2-1f5c-2153-9dee-84a5766d8aff
	JPS RED/23	ITB	24	67	90	23	4030600184431	7,20 €	30/10/2020 16:27:33	71360b60-122a-1417-b7de-7bc94cf4daae
	JPS RED/25	ITB	24	67	90	25	4030600236390	8,70 €	20/03/2021 07:53:20	85dac3a4-47a1-18a8-fe0b-39129c509472
	JPS RED/30	IB	30	72	90	30	4030600274323	9,70 €	04/03/2021 09:59:33	e63b2f35-8593-d37d-fd9a-e361b86ab4a9
